# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Aug  6 11:46:19 2023
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN elat:           Ecliptic Latitude [deg]
#
loc_rowid,pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,elat
3249,Kepler-1988 b,Kepler-1988,11.49500229,0.103800,0.000000,62.48468
3250,Kepler-1989 b,Kepler-1989,10.16102353,0.091800,0.000000,64.90123
3251,Kepler-199 b,Kepler-199,23.63760400,0.158000,0.000000,60.06368
3252,Kepler-199 c,Kepler-199,67.09340800,0.316000,0.000000,60.06368
3253,Kepler-1990 b,Kepler-1990,1.73513619,0.028600,0.000000,62.75291
3254,Kepler-1990 c,Kepler-1990,4.06844957,0.050400,0.000000,62.75291
3255,Kepler-1991 b,Kepler-1991,13.26079792,0.106500,0.000000,67.05291
3256,Kepler-1991 c,Kepler-1991,22.79020351,0.152800,0.000000,67.05291
3257,Kepler-1992 b,Kepler-1992,15.61122380,0.116900,0.000000,64.69497
3258,Kepler-1993 b,Kepler-1993,26.65657370,0.194300,0.000000,65.12258
3259,Kepler-1994 b,Kepler-1994,4.61225043,0.053000,0.000000,65.20692
3260,Kepler-1995 b,Kepler-1995,73.75788750,0.325900,0.000000,68.38245
3261,Kepler-1996 b,Kepler-1996,32.37618300,0.178900,0.000000,68.46431
3262,Kepler-1996 c,Kepler-1996,92.72972480,0.360800,0.000000,68.46431
3263,Kepler-1997 b,Kepler-1997,26.75758660,0.181500,0.000000,65.36991
3264,Kepler-1998 b,Kepler-1998,3.03267135,0.040500,0.000000,69.77853
3265,Kepler-1999 b,Kepler-1999,8.73967580,0.071300,0.000000,70.60795
3266,Kepler-20 b,Kepler-20,3.69610490,0.045650,0.083000,63.90239
3267,Kepler-20 c,Kepler-20,10.85407740,0.093600,0.076000,63.90239
3268,Kepler-20 d,Kepler-20,77.61145500,0.347400,0.082000,63.90239
3269,Kepler-20 e,Kepler-20,6.09848820,0.063700,0.092000,63.90239
3270,Kepler-20 f,Kepler-20,19.57832800,0.138700,0.094000,63.90239
3271,Kepler-20 g,Kepler-20,34.94000000,0.205500,0.150000,63.90239
3272,Kepler-200 b,Kepler-200,8.59480500,0.080000,0.000000,63.44413
3273,Kepler-200 c,Kepler-200,10.22215700,0.090000,0.000000,63.44413
3274,Kepler-2000 b,Kepler-2000,6.38315913,0.056200,0.000000,71.61056
3275,Kepler-2000 c,Kepler-2000,20.61803480,0.122800,0.000000,71.61056
3276,Kepler-2001 b,Kepler-2001,1.09001100,0.019700,0.000000,70.65483
3277,Kepler-2001 c,Kepler-2001,14.09258319,0.108400,0.000000,70.65483
3278,Kepler-201 b,Kepler-201,25.67208300,0.175000,0.000000,61.53566
3279,Kepler-201 c,Kepler-201,151.88405800,0.573000,0.000000,61.53566
3280,Kepler-202 b,Kepler-202,4.06942700,0.045000,0.000000,63.75510
3281,Kepler-202 c,Kepler-202,16.28249300,0.113000,0.000000,63.75510
3282,Kepler-203 b,Kepler-203,3.16269700,0.043000,0.000000,60.72585
3283,Kepler-203 c,Kepler-203,5.37064700,0.061000,0.000000,60.72585
3284,Kepler-203 d,Kepler-203,11.32972000,0.100000,0.000000,60.72585
3285,Kepler-204 b,Kepler-204,14.40097400,0.117000,0.000000,63.79308
3286,Kepler-204 c,Kepler-204,25.66059300,0.173000,0.000000,63.79308
3287,Kepler-205 b,Kepler-205,2.75564000,0.032000,0.000000,63.90005
3288,Kepler-205 c,Kepler-205,20.30654600,0.122000,0.000000,63.90005
3289,Kepler-206 b,Kepler-206,7.78198700,0.078000,0.000000,62.55248
3290,Kepler-206 c,Kepler-206,13.13747100,0.111000,0.000000,62.55248
3291,Kepler-206 d,Kepler-206,23.44281000,0.163000,0.000000,62.55248
3292,Kepler-207 b,Kepler-207,1.61186500,0.029000,0.000000,63.23839
3293,Kepler-207 c,Kepler-207,3.07157100,0.044000,0.000000,63.23839
3294,Kepler-207 d,Kepler-207,5.86807500,0.068000,0.000000,63.23839
3295,Kepler-208 b,Kepler-208,4.22864000,0.054000,0.000000,62.64758
3296,Kepler-208 c,Kepler-208,7.46662300,0.079000,0.000000,62.64758
3297,Kepler-208 d,Kepler-208,11.13178600,0.103000,0.000000,62.64758
3298,Kepler-208 e,Kepler-208,16.25945800,0.132000,0.000000,62.64758
3299,Kepler-209 b,Kepler-209,16.08784500,0.122000,0.000000,63.42712
3300,Kepler-209 c,Kepler-209,41.74988200,0.231000,0.000000,63.42712
3301,Kepler-21 b,Kepler-21,2.78582120,0.043400,0.000000,60.46565
3302,Kepler-210 b,Kepler-210,2.45323400,0.032000,0.000000,63.52067
3303,Kepler-210 c,Kepler-210,7.97251300,0.070000,0.000000,63.52067
3304,Kepler-211 b,Kepler-211,4.13857500,0.048000,0.000000,65.14023
3305,Kepler-211 c,Kepler-211,6.04045000,0.062000,0.000000,65.14023
3306,Kepler-212 b,Kepler-212,16.25758200,0.133000,0.000000,64.68949
3307,Kepler-212 c,Kepler-212,31.80517400,0.207000,0.000000,64.68949
3308,Kepler-213 b,Kepler-213,2.46236000,0.036000,0.000000,65.40358
3309,Kepler-213 c,Kepler-213,4.82296200,0.057000,0.000000,65.40358
3310,Kepler-214 b,Kepler-214,15.66054400,0.130000,0.000000,66.99405
3311,Kepler-214 c,Kepler-214,28.77980000,0.194000,0.000000,66.99405
3312,Kepler-215 b,Kepler-215,9.36067200,0.084000,0.000000,64.84929
3313,Kepler-215 c,Kepler-215,14.66710800,0.113000,0.000000,64.84929
3314,Kepler-215 d,Kepler-215,30.86442300,0.185000,0.000000,64.84929
3315,Kepler-215 e,Kepler-215,68.16101000,0.314000,0.000000,64.84929
3316,Kepler-216 b,Kepler-216,7.69364100,0.079000,0.000000,66.03385
3317,Kepler-216 c,Kepler-216,17.40666900,0.136000,0.000000,66.03385
3318,Kepler-217 b,Kepler-217,5.37494300,0.065000,0.000000,66.35732
3319,Kepler-217 c,Kepler-217,8.58600400,0.089000,0.000000,66.35732
3320,Kepler-217 d,Kepler-217,3.88689525,0.050500,0.000000,66.35732
3321,Kepler-218 b,Kepler-218,3.61933700,0.046000,0.000000,65.68793
3322,Kepler-218 c,Kepler-218,44.69957600,0.248000,0.000000,65.68793
3323,Kepler-218 d,Kepler-218,124.52446470,0.486500,0.000000,65.68793
3324,Kepler-219 b,Kepler-219,4.58551200,0.057000,0.000000,67.88771
3325,Kepler-219 c,Kepler-219,22.71461300,0.165000,0.000000,67.88771
3326,Kepler-219 d,Kepler-219,47.90364500,0.272000,0.000000,67.88771
3327,Kepler-22 b,Kepler-22,289.86387600,0.812000,0.720000,68.82423
3328,Kepler-220 b,Kepler-220,4.15980700,0.046000,0.000000,67.33175
3329,Kepler-220 c,Kepler-220,9.03419900,0.076000,0.000000,67.33175
3330,Kepler-220 d,Kepler-220,28.12239700,0.163000,0.000000,67.33175
3331,Kepler-220 e,Kepler-220,45.90273300,0.226000,0.000000,67.33175
3332,Kepler-221 b,Kepler-221,2.79590600,0.037000,0.000000,65.83933
3333,Kepler-221 c,Kepler-221,5.69058600,0.059000,0.000000,65.83933
3334,Kepler-221 d,Kepler-221,10.04156000,0.087000,0.000000,65.83933
3335,Kepler-221 e,Kepler-221,18.36991700,0.130000,0.000000,65.83933
3336,Kepler-222 b,Kepler-222,3.93698100,0.048000,0.000000,68.24343
3337,Kepler-222 c,Kepler-222,10.08881000,0.091000,0.000000,68.24343
3338,Kepler-222 d,Kepler-222,28.08191200,0.180000,0.000000,68.24343
3339,Kepler-223 b,Kepler-223,7.38449000,0.075600,0.078000,65.72929
3340,Kepler-223 c,Kepler-223,9.84564000,0.091600,0.150000,65.72929
3341,Kepler-223 d,Kepler-223,14.78869000,0.120100,0.037000,65.72929
3342,Kepler-223 e,Kepler-223,19.72567000,0.145500,0.051000,65.72929
3343,Kepler-224 b,Kepler-224,3.13292400,0.038000,0.000000,67.90647
3344,Kepler-224 c,Kepler-224,5.92500300,0.058000,0.000000,67.90647
3345,Kepler-224 d,Kepler-224,11.34939300,0.089000,0.000000,67.90647
3346,Kepler-224 e,Kepler-224,18.64357700,0.124000,0.000000,67.90647
3347,Kepler-225 b,Kepler-225,6.73897500,0.056000,0.000000,67.66856
3348,Kepler-225 c,Kepler-225,18.79423400,0.111000,0.000000,67.66856
3349,Kepler-226 b,Kepler-226,3.94099700,0.047000,0.000000,68.00803
3350,Kepler-226 c,Kepler-226,5.34955500,0.058000,0.000000,68.00803
3351,Kepler-226 d,Kepler-226,8.10904400,0.076000,0.000000,68.00803
3352,Kepler-227 b,Kepler-227,9.48801500,0.090000,0.000000,68.36588
3353,Kepler-227 c,Kepler-227,54.41869400,0.290000,0.000000,68.36588
3354,Kepler-228 b,Kepler-228,2.56654600,0.038000,0.000000,67.19429
3355,Kepler-228 c,Kepler-228,4.13444400,0.052000,0.000000,67.19429
3356,Kepler-228 d,Kepler-228,11.09428600,0.101000,0.000000,67.19429
3357,Kepler-229 b,Kepler-229,6.25297200,0.062000,0.000000,69.80276
3358,Kepler-229 c,Kepler-229,16.06863800,0.117000,0.000000,69.80276
3359,Kepler-229 d,Kepler-229,41.19491200,0.220000,0.000000,69.80276
3360,Kepler-23 b,Kepler-23,7.10730000,0.075000,0.060000,68.92985
3361,Kepler-23 c,Kepler-23,10.74210000,0.099000,0.020000,68.92985
3362,Kepler-23 d,Kepler-23,15.27429900,0.124000,0.080000,68.92985
3363,Kepler-230 b,Kepler-230,32.62555500,0.191000,0.000000,70.20399
3364,Kepler-230 c,Kepler-230,91.77324200,0.380000,0.000000,70.20399
3365,Kepler-231 b,Kepler-231,10.06527500,0.074000,0.000000,69.93611
3366,Kepler-231 c,Kepler-231,19.27156600,0.114000,0.000000,69.93611
3367,Kepler-232 b,Kepler-232,4.43122200,0.054000,0.000000,69.88365
3368,Kepler-232 c,Kepler-232,11.37934900,0.101000,0.000000,69.88365
3369,Kepler-233 b,Kepler-233,8.47238200,0.077000,0.000000,69.87858
3370,Kepler-233 c,Kepler-233,60.41895500,0.287000,0.000000,69.87858
3371,Kepler-234 b,Kepler-234,2.71150600,0.040000,0.000000,59.36558
3372,Kepler-234 c,Kepler-234,7.21205000,0.077000,0.000000,59.36558
3373,Kepler-235 b,Kepler-235,3.34022200,0.037000,0.000000,61.24824
3374,Kepler-235 c,Kepler-235,7.82490400,0.065000,0.000000,61.24824
3375,Kepler-235 d,Kepler-235,20.06054800,0.122000,0.000000,61.24824
3376,Kepler-235 e,Kepler-235,46.18366900,0.213000,0.000000,61.24824
3377,Kepler-236 b,Kepler-236,8.29561100,0.065000,0.000000,62.22342
3378,Kepler-236 c,Kepler-236,23.96812700,0.132000,0.000000,62.22342
3379,Kepler-237 b,Kepler-237,4.71510600,0.050000,0.000000,62.83576
3380,Kepler-237 c,Kepler-237,8.10363600,0.071000,0.000000,62.83576
3381,Kepler-238 b,Kepler-238,2.09087600,0.034000,0.000000,62.22403
3382,Kepler-238 c,Kepler-238,6.15555700,0.069000,0.000000,62.22403
3383,Kepler-238 d,Kepler-238,13.23354900,0.115000,0.000000,62.22403
3384,Kepler-238 e,Kepler-238,23.65400000,0.165800,0.000000,62.22403
3385,Kepler-238 f,Kepler-238,50.44700000,0.274700,0.000000,62.22403
3386,Kepler-239 b,Kepler-239,11.76305100,0.095000,0.000000,60.81583
3387,Kepler-239 c,Kepler-239,56.22809800,0.268000,0.000000,60.81583
3388,Kepler-24 b,Kepler-24,8.14530000,0.080000,0.000000,59.49349
3389,Kepler-24 c,Kepler-24,12.33350000,0.106000,0.000000,59.49349
3390,Kepler-24 d,Kepler-24,4.24438400,0.051000,0.000000,59.49349
3391,Kepler-24 e,Kepler-24,18.99835500,0.138000,0.000000,59.49349
3392,Kepler-240 b,Kepler-240,4.14449500,0.048000,0.000000,61.63316
3393,Kepler-240 c,Kepler-240,7.95352800,0.074000,0.000000,61.63316
3394,Kepler-241 b,Kepler-241,12.71809200,0.094000,0.000000,61.51257
3395,Kepler-241 c,Kepler-241,36.06597800,0.189000,0.000000,61.51257
3396,Kepler-242 b,Kepler-242,8.20395000,0.075000,0.000000,63.61394
3397,Kepler-242 c,Kepler-242,14.49648100,0.109000,0.000000,63.61394
3398,Kepler-243 b,Kepler-243,5.71544200,0.062000,0.000000,64.09929
3399,Kepler-243 c,Kepler-243,20.02621800,0.142000,0.000000,64.09929
3400,Kepler-244 b,Kepler-244,4.31179200,0.050000,0.000000,63.95811
3401,Kepler-244 c,Kepler-244,9.76729200,0.087000,0.000000,63.95811
3402,Kepler-244 d,Kepler-244,20.05040100,0.140000,0.000000,63.95811
3403,Kepler-245 b,Kepler-245,7.49019000,0.071000,0.000000,63.12201
3404,Kepler-245 c,Kepler-245,17.46081200,0.124000,0.000000,63.12201
3405,Kepler-245 d,Kepler-245,36.27710800,0.202000,0.000000,63.12201
3406,Kepler-245 e,Kepler-245,3.21982106,0.040000,0.000000,63.12201
3407,Kepler-246 b,Kepler-246,4.60182000,0.052000,0.000000,62.07708
3408,Kepler-246 c,Kepler-246,11.18716100,0.095000,0.000000,62.07708
3409,Kepler-247 b,Kepler-247,3.33616000,0.042000,0.000000,64.37677
3410,Kepler-247 c,Kepler-247,9.43945200,0.084000,0.000000,64.37677
3411,Kepler-247 d,Kepler-247,20.47791200,0.140000,0.000000,64.37677
3412,Kepler-248 b,Kepler-248,6.30820500,0.066000,0.000000,63.84677
3413,Kepler-248 c,Kepler-248,16.23949400,0.123000,0.000000,63.84677
3414,Kepler-249 b,Kepler-249,3.30653900,0.035000,0.000000,62.85297
3415,Kepler-249 c,Kepler-249,7.11370200,0.058000,0.000000,62.85297
3416,Kepler-249 d,Kepler-249,15.36845900,0.097000,0.000000,62.85297
3417,Kepler-25 b,Kepler-25,6.23829700,0.068500,0.002900,61.35127
3418,Kepler-25 c,Kepler-25,12.72070000,0.110100,0.006100,61.35127
3419,Kepler-25 d,Kepler-25,122.40000000,,0.130000,61.35127
3420,Kepler-250 b,Kepler-250,4.14814100,0.048000,0.000000,65.21526
3421,Kepler-250 c,Kepler-250,7.15680400,0.069000,0.000000,65.21526
3422,Kepler-250 d,Kepler-250,17.64831200,0.127000,0.000000,65.21526
3423,Kepler-251 b,Kepler-251,4.79093600,0.053000,0.000000,63.38327
3424,Kepler-251 c,Kepler-251,16.51404300,0.122000,0.000000,63.38327
3425,Kepler-251 d,Kepler-251,30.13300100,0.182000,0.000000,63.38327
3426,Kepler-251 e,Kepler-251,99.64016100,0.404000,0.000000,63.38327
3427,Kepler-252 b,Kepler-252,6.66839100,0.058000,0.000000,64.06640
3428,Kepler-252 c,Kepler-252,10.84846300,0.080000,0.000000,64.06640
3429,Kepler-253 b,Kepler-253,3.78398600,0.046000,0.000000,65.35028
3430,Kepler-253 c,Kepler-253,10.28195100,0.089000,0.000000,65.35028
3431,Kepler-253 d,Kepler-253,18.11986900,0.130000,0.000000,65.35028
3432,Kepler-254 b,Kepler-254,5.82666200,0.064000,0.000000,67.12489
3433,Kepler-254 c,Kepler-254,12.41218300,0.105000,0.000000,67.12489
3434,Kepler-254 d,Kepler-254,18.74647700,0.139000,0.000000,67.12489
3435,Kepler-255 b,Kepler-255,5.71460600,0.063000,0.000000,65.23657
3436,Kepler-255 c,Kepler-255,9.94604700,0.092000,0.000000,65.23657
3437,Kepler-255 d,Kepler-255,1.04562266,0.019200,0.000000,65.23657
3438,Kepler-256 b,Kepler-256,1.62049300,0.027000,0.000000,66.31261
3439,Kepler-256 c,Kepler-256,3.38802000,0.045000,0.000000,66.31261
3440,Kepler-256 d,Kepler-256,5.83917200,0.064000,0.000000,66.31261
3441,Kepler-256 e,Kepler-256,10.68157200,0.096000,0.000000,66.31261
3442,Kepler-257 b,Kepler-257,2.38266700,0.034000,0.000000,64.91008
3443,Kepler-257 c,Kepler-257,6.58148400,0.066000,0.000000,64.91008
3444,Kepler-257 d,Kepler-257,24.66455100,0.160000,0.000000,64.91008
3445,Kepler-258 b,Kepler-258,13.19722000,0.103000,0.000000,66.35268
3446,Kepler-258 c,Kepler-258,33.65307900,0.193000,0.000000,66.35268
3447,Kepler-259 b,Kepler-259,8.11531700,0.079000,0.000000,67.86968
3448,Kepler-259 c,Kepler-259,36.92493100,0.217000,0.000000,67.86968
3449,Kepler-26 b,Kepler-26,12.28000000,0.085510,0.000000,68.50992
3450,Kepler-26 c,Kepler-26,17.25590000,0.107250,0.000000,68.50992
3451,Kepler-26 d,Kepler-26,3.54391900,0.039000,0.000000,68.50992
3452,Kepler-26 e,Kepler-26,46.82791500,0.220000,0.000000,68.50992
3453,Kepler-260 b,Kepler-260,8.18739900,0.075000,0.000000,58.84375
3454,Kepler-260 c,Kepler-260,76.05017800,0.332000,0.000000,58.84375
3455,Kepler-261 b,Kepler-261,10.38122700,0.088000,0.000000,58.58070
3456,Kepler-261 c,Kepler-261,24.57085800,0.156000,0.000000,58.58070
3457,Kepler-262 b,Kepler-262,13.06085500,0.108000,0.000000,58.37569
3458,Kepler-262 c,Kepler-262,21.85372200,0.152000,0.000000,58.37569
3459,Kepler-263 b,Kepler-263,16.56808700,0.120000,0.000000,58.29257
3460,Kepler-263 c,Kepler-263,47.33277300,0.242000,0.000000,58.29257
3461,Kepler-264 b,Kepler-264,40.80623100,0.249000,0.000000,58.20560
3462,Kepler-264 c,Kepler-264,140.10126100,0.566000,0.000000,58.20560
3463,Kepler-265 b,Kepler-265,6.84626200,0.069000,0.000000,62.25196
3464,Kepler-265 c,Kepler-265,17.02893700,0.127000,0.000000,62.25196
3465,Kepler-265 d,Kepler-265,43.13061700,0.236000,0.000000,62.25196
3466,Kepler-265 e,Kepler-265,67.83102400,0.319000,0.000000,62.25196
3467,Kepler-266 b,Kepler-266,6.61833000,0.071000,0.000000,64.01762
3468,Kepler-266 c,Kepler-266,107.72360100,0.457000,0.000000,64.01762
3469,Kepler-267 b,Kepler-267,3.35372800,0.037000,0.000000,65.14379
3470,Kepler-267 c,Kepler-267,6.87745000,0.060000,0.000000,65.14379
3471,Kepler-267 d,Kepler-267,28.46451500,0.154000,0.000000,65.14379
3472,Kepler-268 b,Kepler-268,25.93413800,0.180000,0.000000,58.87163
3473,Kepler-268 c,Kepler-268,83.44639300,0.391000,0.000000,58.87163
3474,Kepler-269 b,Kepler-269,5.32671800,0.061000,0.000000,62.82508
3475,Kepler-269 c,Kepler-269,8.12789900,0.081000,0.000000,62.82508
3476,Kepler-27 b,Kepler-27,15.33480000,0.118000,0.000000,61.69988
3477,Kepler-27 c,Kepler-27,31.33090000,0.191000,0.000000,61.69988
3478,Kepler-27 d,Kepler-27,6.54628992,0.066800,0.000000,61.69988
3479,Kepler-270 b,Kepler-270,11.47609400,0.107000,0.000000,66.90561
3480,Kepler-270 c,Kepler-270,25.26288700,0.180000,0.000000,66.90561
3481,Kepler-271 b,Kepler-271,10.43547805,0.088100,0.000000,66.64450
3482,Kepler-271 c,Kepler-271,7.41086267,0.070200,0.000000,66.64450
3483,Kepler-271 d,Kepler-271,5.24972541,0.055800,0.000000,66.64450
3484,Kepler-272 b,Kepler-272,2.97135300,0.038000,0.000000,65.75289
3485,Kepler-272 c,Kepler-272,6.05734200,0.061000,0.000000,65.75289
3486,Kepler-272 d,Kepler-272,10.93730400,0.091000,0.000000,65.75289
3487,Kepler-273 b,Kepler-273,2.93653200,0.037000,0.000000,68.12557
3488,Kepler-273 c,Kepler-273,8.01492700,0.073000,0.000000,68.12557
3489,Kepler-274 b,Kepler-274,11.63478800,0.101000,0.000000,59.05610
3490,Kepler-274 c,Kepler-274,33.19786100,0.204000,0.000000,59.05610
3491,Kepler-275 b,Kepler-275,10.30068200,0.098000,0.000000,59.19580
3492,Kepler-275 c,Kepler-275,16.08813400,0.132000,0.000000,59.19580
3493,Kepler-275 d,Kepler-275,35.67606200,0.224000,0.000000,59.19580
3494,Kepler-276 b,Kepler-276,14.12841000,0.119000,0.000000,59.43368
